model,scenario,chemical_name,n_samples,n_valid_positions,absolute_rmse,absolute_mae,raw_fc_pcc,raw_fc_rmse,raw_fc_direction_accuracy
S2B D0 hierarchical none Huber,val_strain_only,Amiodarone hydrochloride,23,73670,0.8329519629478455,0.5882920622825623,0.1656505944772813,0.8329519629478455,0.537749423103027
S2B D0 hierarchical none Huber,val_strain_only,Anisomycin,48,183200,0.6965605616569519,0.48205187916755676,0.2945479963230099,0.6965605616569519,0.5945687772925764
S2B D0 hierarchical none Huber,val_strain_only,Artemisinin,24,87987,0.7187502384185791,0.49786821007728577,0.1739647633239171,0.7187502384185791,0.5554456908406924
S2B D0 hierarchical none Huber,val_strain_only,Brefeldin A,48,179607,0.6981097459793091,0.4825153052806854,0.2716607493420139,0.6981097459793091,0.5914635843814551
S2B D0 hierarchical none Huber,val_strain_only,CHX,51,179518,0.8047993183135986,0.5570678114891052,0.25387077902595523,0.8047993183135986,0.5894784924074467
S2B D0 hierarchical none Huber,val_strain_only,Cisplatin,72,256795,0.7452461123466492,0.5133468508720398,0.2326479494692429,0.7452461123466492,0.5819739480908896
S2B D0 hierarchical none Huber,val_strain_only,Clomiphene citrate,24,87849,0.694948136806488,0.48003631830215454,0.26234737464238295,0.694948136806488,0.5820441894614623
S2B D0 hierarchical none Huber,val_strain_only,Clotrimazole,24,91638,0.6911317706108093,0.4748859703540802,0.31022863494952657,0.6911317706108093,0.6050328466356751
S2B D0 hierarchical none Huber,val_strain_only,Cyclopiazonic acid,24,73547,0.853641927242279,0.605686604976654,0.18488183872780473,0.853641927242279,0.5529933239968999
S2B D0 hierarchical none Huber,val_strain_only,Desipramine hydrochloride,23,87358,0.6867542862892151,0.47139984369277954,0.33100401490131043,0.6867542862892151,0.6115181208360997
S2B D0 hierarchical none Huber,val_strain_only,Dyclonine hydrochloride,13,49963,0.6784054040908813,0.46279823780059814,0.2806522624075989,0.6784054040908813,0.5967816183976142
S2B D0 hierarchical none Huber,val_strain_only,EDTA,144,518606,0.8156610131263733,0.567448079586029,0.23171646793247616,0.8156610131263733,0.573928955700474
S2B D0 hierarchical none Huber,val_strain_only,Emodin,24,86728,0.7157895565032959,0.49711552262306213,0.2574008300330629,0.7157895565032959,0.5831911262798635
S2B D0 hierarchical none Huber,val_strain_only,Geldanamycin,24,87891,0.7001516222953796,0.48207923769950867,0.25422757922852723,0.7001516222953796,0.5917556973979133
S2B D0 hierarchical none Huber,val_strain_only,Haloperidol,24,91401,0.689429759979248,0.4736490845680237,0.3150713393197345,0.689429759979248,0.6115469196179473
S2B D0 hierarchical none Huber,val_strain_only,Harmine hydrochloride,24,86918,0.7327214479446411,0.5132616758346558,0.22411047595521752,0.7327214479446411,0.5771761890517499
S2B D0 hierarchical none Huber,val_strain_only,Hoechst 33258,23,83761,0.8752245903015137,0.6314823031425476,0.18608581814234398,0.8752245903015137,0.55454208999415
S2B D0 hierarchical none Huber,val_strain_only,LY 294002 hydrochloride,24,88180,0.7290210127830505,0.5008108615875244,0.24827535644751997,0.7290210127830505,0.5811635291449309
S2B D0 hierarchical none Huber,val_strain_only,NaCl,72,254240,0.8014753460884094,0.5396479368209839,0.15759370412573448,0.8014753460884094,0.5671491504090623
S2B D0 hierarchical none Huber,val_strain_only,Nigericin,24,89166,0.7644661664962769,0.5352451205253601,0.22877387635263727,0.7644661664962769,0.5744678464885719
S2B D0 hierarchical none Huber,val_strain_only,Nocodazole,24,84550,0.7123975157737732,0.4926690459251404,0.25971911257628283,0.7123975157737732,0.5865405085748078
S2B D0 hierarchical none Huber,val_strain_only,Nystatin dihydrate,24,87755,0.7616527676582336,0.529286801815033,0.2551187297795203,0.7616527676582336,0.5823143980399977
S2B D0 hierarchical none Huber,val_strain_only,Oligomycin,24,78659,0.7661067247390747,0.5289706587791443,0.2488227011233862,0.7661067247390747,0.5947952554698127
S2B D0 hierarchical none Huber,val_strain_only,Parthenolide,24,88568,0.7075190544128418,0.4857070744037628,0.2974182625449781,0.7075190544128418,0.6026781681871556
S2B D0 hierarchical none Huber,val_strain_only,Rapamycin,72,259073,0.8511754274368286,0.5952218770980835,0.1614462592507337,0.8511754274368286,0.5487410884190942
S2B D0 hierarchical none Huber,val_strain_only,SDS,72,255928,0.8502220511436462,0.5927479267120361,0.19952446616099262,0.8502220511436462,0.5597511800193804
S2B D0 hierarchical none Huber,val_strain_only,Sorbitol,72,253614,0.8549331426620483,0.5851351618766785,0.1795148831225473,0.8549331426620483,0.5671295748657409
S2B D0 hierarchical none Huber,val_strain_only,Staurosporine,24,91760,0.6902004480361938,0.4743540287017822,0.30611321871736447,0.6902004480361938,0.6035854402789886
S2B D0 hierarchical none Huber,val_strain_only,Trichostatin A,24,87658,0.7292556166648865,0.5134018063545227,0.25641077564023296,0.7292556166648865,0.5803349380547126
S2B D0 hierarchical none Huber,val_strain_only,Trifluoperazine dihydrochloride,24,91600,0.6880664825439453,0.4722488224506378,0.32594910664282845,0.6880664825439453,0.6105349344978166
