model,scenario,chemical_name,n_samples,n_valid_positions,absolute_rmse,absolute_mae,raw_fc_pcc,raw_fc_rmse,raw_fc_direction_accuracy
S1 C anchor Morgan Huber plus experimental FC,val_time,"(1R, 2S, 5R) - (-) - Menthol",5,18772,0.44076743721961975,0.29913535714149475,0.46626160688199175,0.44076743721961975,0.6441508629874281
S1 C anchor Morgan Huber plus experimental FC,val_time,4-Hydroxytamoxifen,1,1348,1.2100770473480225,0.8934112191200256,0.4851449428518004,1.2100770473480225,0.6876854599406528
S1 C anchor Morgan Huber plus experimental FC,val_time,Amiodarone hydrochloride,2,3957,0.9193882942199707,0.6689542531967163,0.37915906713477904,0.9193882942199707,0.623199393479909
S1 C anchor Morgan Huber plus experimental FC,val_time,Anisomycin,4,15592,0.5586611032485962,0.39257481694221497,0.31380081395218,0.5586611032485962,0.581900974858902
S1 C anchor Morgan Huber plus experimental FC,val_time,Artemisinin,3,11216,0.43599775433540344,0.3114974796772003,0.3713391589560465,0.43599775433540344,0.63061697574893
S1 C anchor Morgan Huber plus experimental FC,val_time,Brefeldin A,10,37695,0.5269450545310974,0.3611443042755127,0.2398951170541078,0.5269450545310974,0.5816421276031304
S1 C anchor Morgan Huber plus experimental FC,val_time,CHX,3,11109,0.5351867079734802,0.39294540882110596,0.5580685761153438,0.5351867079734802,0.6981726528040327
S1 C anchor Morgan Huber plus experimental FC,val_time,Cisplatin,8,28666,0.48982954025268555,0.3495251536369324,0.3551698058135481,0.48982954025268555,0.6173166817832972
S1 C anchor Morgan Huber plus experimental FC,val_time,Clomiphene citrate,3,11308,0.5074662566184998,0.35487625002861023,0.4116797667395816,0.5074662566184998,0.6374248319773611
S1 C anchor Morgan Huber plus experimental FC,val_time,Clotrimazole,2,7647,0.4736843705177307,0.31702688336372375,0.4533242607035144,0.4736843705177307,0.6280894468418988
S1 C anchor Morgan Huber plus experimental FC,val_time,Cyclopiazonic acid,5,15046,0.6874171495437622,0.47457316517829895,0.45874641232206864,0.6874171495437622,0.6966635650671275
S1 C anchor Morgan Huber plus experimental FC,val_time,Desipramine hydrochloride,2,7573,0.5099747180938721,0.3716254234313965,0.2857852939542908,0.5099747180938721,0.5771820942823188
S1 C anchor Morgan Huber plus experimental FC,val_time,Dyclonine hydrochloride,3,11585,0.6201798915863037,0.4180307984352112,0.1992312844028779,0.6201798915863037,0.582304704359085
S1 C anchor Morgan Huber plus experimental FC,val_time,EDTA,12,43852,0.5253056883811951,0.3708389401435852,0.3822039070785371,0.5253056883811951,0.6253534616437106
S1 C anchor Morgan Huber plus experimental FC,val_time,Emodin,1,3549,0.506514310836792,0.3712112009525299,0.23323728225226842,0.506514310836792,0.6049591434206819
S1 C anchor Morgan Huber plus experimental FC,val_time,Geldanamycin,3,11398,0.5144707560539246,0.35096344351768494,0.29616209088905276,0.5144707560539246,0.6182663625197403
S1 C anchor Morgan Huber plus experimental FC,val_time,Haloperidol,3,11241,0.6753836274147034,0.49487003684043884,0.343109182291647,0.6753836274147034,0.6027933457877414
S1 C anchor Morgan Huber plus experimental FC,val_time,Harmine hydrochloride,4,14734,0.5228003859519958,0.36615195870399475,0.3499825707659647,0.5228003859519958,0.6017374779421746
S1 C anchor Morgan Huber plus experimental FC,val_time,Hoechst 33258,3,10997,0.7064050436019897,0.5083069801330566,0.275262709248176,0.7064050436019897,0.5770664726743657
