model,scenario,chemical_name,n_samples,n_valid_positions,absolute_rmse,raw_fc_pcc,raw_fc_direction_accuracy,matched_control_rmse,rmse_gain_vs_matched_control
S2C seed2,val_strain_only,"(1R, 2S, 5R) - (-) - Menthol",24,87632,0.7328782081604004,0.24017172946628293,0.5878674456819427,0.34805646538734436,-0.38482174277305603
S2C seed2,val_strain_only,1-10 Phenanthroline monohydrate,48,174947,0.7385467290878296,0.23708904938591716,0.5862747003378166,0.35278311371803284,-0.38576361536979675
S2C seed2,val_strain_only,4-Hydroxytamoxifen,24,87104,0.7638614177703857,0.32523489791141413,0.6012927075679647,0.4519001245498657,-0.31196129322052
S2C seed2,val_strain_only,Amiodarone hydrochloride,23,73670,0.7477535009384155,0.34267724182581455,0.5950997692412108,0.5889292359352112,-0.15882426500320435
S2C seed2,val_strain_only,Anisomycin,48,183200,0.7294787168502808,0.2831539515158095,0.6060644104803493,0.37533098459243774,-0.354147732257843
S2C seed2,val_strain_only,Artemisinin,24,87987,0.7499331831932068,0.17387716476368956,0.5625376476070328,0.3194447159767151,-0.4304884672164917
S2C seed2,val_strain_only,Brefeldin A,48,179607,0.7373992204666138,0.25338099231323785,0.5953331440311347,0.3586706817150116,-0.3787285387516022
S2C seed2,val_strain_only,CHX,51,179518,0.7467975616455078,0.2735448249359308,0.594892991232077,0.4087584316730499,-0.3380391299724579
S2C seed2,val_strain_only,Cisplatin,72,256795,0.7441746592521667,0.24518651652813703,0.5890846784400008,0.3453108072280884,-0.39886385202407837
S2C seed2,val_strain_only,Clomiphene citrate,24,87849,0.7263177633285522,0.25697585907142695,0.5921524433971929,0.340463787317276,-0.38585397601127625
S2C seed2,val_strain_only,Clotrimazole,24,91638,0.7298738956451416,0.3016431424664717,0.6087649228486,0.378872275352478,-0.3510016202926636
S2C seed2,val_strain_only,Cyclopiazonic acid,24,73547,0.7564592361450195,0.4565508563190244,0.643194147959808,0.6291213035583496,-0.12733793258666992
S2C seed2,val_strain_only,Desipramine hydrochloride,23,87358,0.7211619019508362,0.31565479255583145,0.6163373703610431,0.39586612582206726,-0.3252957761287689
S2C seed2,val_strain_only,Dyclonine hydrochloride,13,49963,0.7100526094436646,0.29090694456087335,0.6074695274503132,0.35048073530197144,-0.3595718741416931
S2C seed2,val_strain_only,EDTA,144,518606,0.7554413080215454,0.2505329765665969,0.5871432262642545,0.35599082708358765,-0.39945048093795776
S2C seed2,val_strain_only,Emodin,24,86728,0.7321957349777222,0.2649248148127748,0.603715063186053,0.4034174680709839,-0.3287782669067383
